,Context,English,Spanish,Finnish,German,Japanese,Portuguese,French,Italian,Korean,Turkish,Polish,,,,,,,,,,,,,,,
cooked_superior_meat,,Cooked superior meat,Carne cocida superior,Kypsä ylivoimainen liha,Gekochtes Hochwertiges Fleisch,上肉料理,Carne superior cozida,Viande supérieure cuite,Carne cotta sublime,익힌 상급 고기 ,Pişmiş üstün et,Znakomite gotowane mięso,,,,,,,,,,,,,,,
fish,,Fish,Pescado,Kala,Fisch,魚,Peixes,Poisson,Pesce,생선,Balık,Ryba,,,,,,,,,,,,,,,
meat,,Meat,Carne,Liha,Fleisch,肉,Carnes,Viande,Carne,고기,Et,Mięso,,,,,,,,,,,,,,,
dishes,,Dishes,Platos,Annokset,Gerichte,料理,Pratos,Plats,Piatti,요리,Yemekler,Potrawy,,,,,,,,,,,,,,,
nettle,,Nettle,Ortiga,Nokkonen,Nessel,イラクサ,Urtiga,Ortie,Ortica,쐐기풀,Isırgan otu,Pokrzywa,,,,,,,,,,,,,,,
nettles,,Nettles,Ortigas,Nokkosia,Nesseln,イラクサ,Urtiga,Orties,Ortiche,쐐기풀,Isırgan otu,Pokrzywy,,,,,,,,,,,,,,,
blackberry,,Blackberry,Zarzamora,Karhunvatukka,Schwarzbeere,ブラックベリー,Amora,Mûre,Mora,블랙베리,Böğürtlen,Jeżyna,,,,,,,,,,,,,,,
blackberries,,Blackberries,Moras,Karhunvatukoita,Schwarzbeeren,ブラックベリー,Amoras,Mûres,More,블랙베리,Böğürtlen,Jeżyny,,,,,,,,,,,,,,,
garlic,,Garlic,Ajo,Valkosipuli,Knoblauch,ニンニク,Alho,Ail,Aglio,마늘,Sarımsak,Czosnek,,,,,,,,,,,,,,,
sweet_chestnut,,Sweet chestnut,Castaña dulce,Jalokastanjan pähkinä,Süßkastanie,甘栗,Castanha doce,Châtaigne,Castagna dolce,단밤,Tatlı kestane,Słodki kasztan,,,,,,,,,,,,,,,
sweet_chestnuts,,Sweet chestnuts,Castañas dulces,Jalokastanjan pähkinöitä,Süßkastanien,甘栗,Castanhas doces,Châtaignes,Castagne dolci,단밤,Tatlı kestaneler,Słodkie kasztany,,,,,,,,,,,,,,,
blueberry,,Blueberry,Arándano,Mustikka,Blaubeere,ブルーベリー,Mirtilo,Myrtille,Mirtillo,블루베리,Yaban Mersini,Jagoda,,,,,,,,,,,,,,,
blueberries,,Blueberries,Arándanos,Mustikoita,Blaubeeren,ブルーベリー,Mirtilos,Myrtilles,Mirtilli,블루베리,Yaban Mersini,Jagody,,,,,,,,,,,,,,,
chanterelle,,Chanterelle,Rebozuelo,Kantarelli,Pfifferling,シャントレル,Cantarelos,Chanterelle,Gallinaccio,살구버섯,Sarıkız mantarı,Kurka,,,,,,,,,,,,,,,
chanterelles,,Chanterelles,Rebozuelos,Kantarelleja,Pfifferlinge,シャントレル,Cantarelos,Chanterelles,Gallinaccio,살구버섯,Sarıkız mantarı,Kurki,,,,,,,,,,,,,,,
sea_buckthorn,,Sea buckthorn,Espino amarillo,Tyrni,Sanddorn,シーバックソーン,Espinheiro-marítimo,Argousier,Olivello spinoso,산자나무,Yalancı İğde,Rokitnik zwyczajny,,,,,,,,,,,,,,,
sea_buckthorns,,Sea buckthorns,Espino amarillo,Tyrnejä,Sanddorn,シーバックソーン,Espinheiro-marítimo,Argousier,Olivelli spinosi,산자나무,Yalancı İğde,Rokitniki zwyczajne,,,,,,,,,,,,,,,
porcini,,Porcini,Boletus,Herkkutatti,Steinpilz,ポルチーニ,Cogumelo porcino,Cèpe,Fungo porcino,그물버섯,Porçini mantarı,Borowik,,,,,,,,,,,,,,,
porcinis,,Porcinis,Boletus,Herkkutatteja,Steinpilze,ポルチーニ,Cogumelos porcinos,Cèpes,Funghi porcini,그물버섯,Porçini mantarı,Borowiki,,,,,,,,,,,,,,,
potato,,Potato,Patata,Peruna,Kartoffel,ジャガイモ,Batata,Pommes de terre,Patata,감자,Patates,Ziemniak,,,,,,,,,,,,,,,
potato_seed,,Potato seed,Semilla de patata,Perunansiemen,Kartoffel Samen,ポテトシード,Semente de batata,Graine de pomme de terre,Seme di patata,감자 씨앗,Patates tohumu,Nasiona ziemniaka,,,,,,,,,,,,,,,
carrot,,Carrot,Zanahoria,Porkkana,Karotte,ニンジン,Cenoura,Carotte,Carota,당근,Havuç,Marchew,,,,,,,,,,,,,,,
carrot_seed,,Carrot seed,Semilla de zanahoria,Porkkanansiemen,Karotten Samen,ニンジン種子,Semente de cenoura,Graine de carotte,Seme di carota,당근 씨앗,Havuç tohumu,Nasiona marchwi,,,,,,,,,,,,,,,
tomato,,Tomato,Tomate,Tomaatti,Tomate,トマト,Tomate,Tomate,Pomodoro,토마토,Domates,Pomidor,,,,,,,,,,,,,,,
tomato_seed,,Tomato seed,Semilla de tomate,Tomaatinsiemen,Tomaten Samen,トマト種子,Semente de tomate,Grain de tomate,Seme di pomodoro,토마토 씨앗,Domates tohumu,Nasiona pomidora,,,,,,,,,,,,,,,
cabbage,,Cabbage,Col,Kaali,Salat,キャベツ,Repolho,Chou,Cavolo,양배추,Lahana,Kapusta,,,,,,,,,,,,,,,
cabbage_seed,,Cabbage seed,Semilla de col,Kaalinsiemen,Salat Samen,キャベツの種,Semente de repolho,Graine de chou,Seme di cavolo,양배추 씨앗,Lahana tohumu,Nasiona kapusty,,,,,,,,,,,,,,,
strawberry,,Strawberry,Fresa,Mansikka,Erdbeere,イチゴ,Morango,Fraise,Fragola,딸기,Çilek,Truskawka,,,,,,,,,,,,,,,
strawberry_seed,,Strawberry seed,Semilla de fresa,Mansikansiemen,Erdbeer Samen,イチゴの種,Semente de morango,Graine de fraise,Seme di fragola,딸기 씨앗,Çilek tohumu,Nasiona truskawek,,,,,,,,,,,,,,,
watermelon,,Watermelon,Sandía,Vesimeloni,Wassermelone,スイカ,Melancia,Pastèque,Anguria,수박,Karpuz,Arbuz,,,,,,,,,,,,,,,
watermelon_seed,,Watermelon seed,Semilla de sandía,Vesimeloninsiemen,Wassermelone Samen,スイカの種,Semente de melancia,Graine de pastèque,Seme d'anguria,수박 씨앗,Karpuz tohumu,Nasiona arbuza,,,,,,,,,,,,,,,
potato_soup,,Potato soup,Sopa de patata,Perunakeitto,Kartoffelsuppe,ポテトスープ,Sopa de batata,Soupe de pommes de terre,Zuppa di patate,감자 수프,Patates Çorbası,Zupa ziemniaczana,,,,,,,,,,,,,,,
meat_burger,,Meat burger,Hamburguesa de carne,Hampurilainen,Fleisch Burger,ミートバーガー,Hambúrguer de carne,Hamburger à la viande,Burger di carne,미트 버거,Et burger,Burger mięsny,,,,,,,,,,,,,,,
blackberry_muffin,,Blackberry muffin,Panecillo de moras,Karhunvatukkamuffinssi,Brombeermuffin,ブラックベリーマフィン,Muffin de amora,Muffin aux mûres,Muffin alle more,블랙베리 머핀,Böğürtlenli muffin,Muffin jeżynowy,,,,,,,,,,,,,,,
cod_soup,,Cod soup,Sopa de bacalao,Turskakeitto,Kabeljausuppe,タラのスープ,Sopa de bacalhau,Soupe de morue,Zuppa di pesce,대구탕,Morina çorbası,Zupa z dorsza,,,,,,,,,,,,,,,
blueberry_pie,,Blueberry pie,Pastel de arándanos,Mustikkapiirakka,Blaubeer Kuchen,ブルーベリーパイ,Torta de mirtilo,Tarte aux myrtilles,Torta ai mirtilli,블루베리 파이,Yaban mersinli turta,Ciasto jagodowe,,,,,,,,,,,,,,,
salmon_salad,,Salmon salad,Ensalada de salmón,Lohisalaatti,Lachs Salat,サーモンサラダ,Salada de salmão,Salade de saumon,Insalata di salmone,연어 샐러드,Somon Salatası,Sałatka z łososiem,,,,,,,,,,,,,,,
porcini_soup,,Porcini soup,Sopa de boletus,Herkkutattikeitto,Steinpilzsuppe,ポルチーニ・スープ,Sopa de Porcini,Soupe aux cèpes,Zuppa ai funghi porcini,산자나무 수프,Porçini çorbası,Zupa z borowików,,,,,,,,,,,,,,,
grilled_lobster,,Grilled lobster,Langosta a la plancha,Grillattu hummeri,Gebratener Hummer,ロブスターのグリル,Lagosta grelhada,Homard grillé,Aragosta grigliata,구운 랍스터,Izgara ıstakoz,Grillowany homar,,,,,,,,,,,,,,,
power_pizza,,Power pizza,Pizza do poder,Voimapizza,Leistungspizza,パワーピザ,Pizza de poder,Pizza puissante,Pizza potente,파워 피자,Güç pizzası,Pizza Mocy,,,,,,,,,,,,,,,
onion,,Onion,Cebolla,Sipuli,Zwiebel,オニオン,Cebola,Oignon,Cipolla,양파,Soğan,Cebula,,,,,,,,,,,,,,,
onion_seed,,Onion seed,Semilla de cebolla,Sipulin siemen,Zwiebel Samen,オニオンシード,Semente de cebola,Graine d'oignon,Seme di cipolla,양파 씨앗,Soğan tohumu,Nasiona cebuli,,,,,,,,,,,,,,,
group_update,,Group update,Actualización de grupo,Ryhmäpäivitys,Gruppen Aktualisierung,グループ更新,Atualização do grupo,Mise à jour du groupe,Aggiornamento del gruppo,그룹 업데이트,Grup güncellemesi,Aktualizacja grupy,,,,,,,,,,,,,,,
player_joined_group,,{0} has joined your combat group!,¡{0} se ha unido a tu grupo de combate!,{0} liittyi sinun taisteluryhmään!,{0} ist deiner Gruppe beigetretten!,{0}が戦闘グループに加わりました！,{0} entrou em seu grupo de combate!,{0} a rejoint votre groupe de combat !,{0} è entrato nel tuo gruppo di combattimento!,{0}이 전투 그룹에 가입했습니다!,{0} savaş grubunuza katıldı!,{0} dołączył do twojej grupy walki!,,,,,,,,,,,,,,,
guild_update,,Clan update,Actualización de clan,Klaanipäivitys,Clan Aktualisierung,クラン更新,Atualização do clã,Mise à jour du clan,Aggiornamento del clan,클랜 업데이트,Klan güncellemesi,Aktualizacja klanu,,,,,,,,,,,,,,,
player_joined_guild,,{0} has joined your clan!,¡{0} se ha unido a tu clan!,{0} liittyi klaaniisi!,{0} ist deinem Clan beigetretten!,{0}があなたのクランに加入しました,{0} entrou para o seu clã!,{0} a rejoint votre clan !,{0} è entrato nel tuo clan!,{0}이 클랜에 가입했습니다!,{0} klanınıza katıldı!,{0} dołączył do twojego klanu!,,,,,,,,,,,,,,,
you_joined_guild,,You've joined the clan {0}!,¡Te has unido al clan {0}!,Liityit klaaniin {0}!,du bist dem Clan {0} beigetretten!,クラン{0}に加入しました！,Você entrou para o clã {0}!,Vous avez rejoint le clan {0} !,Sei entrato nel clan {0}!,클랜 {0}에 가입했습니다!,Sen {0} klanına katıldın!,Dołączyłeś do klanu {0}!,,,,,,,,,,,,,,,
guild_invitation_title,,Clan invitation,Invitación al clan,Kutsu klaaniin,Clan Einladung,クラン招待,Convite do clã,Invitation au clan,Invito al clan,클랜 초대,Klan daveti,Zaproszenie do klanu,,,,,,,,,,,,,,,
guild_invitation_body,,{0} has invited you to join {1},{0} te ha invitado a unirte a {1},{0} on kutsunut sinut klaaniin {1},{0} hat dich zu {1} eingeladen ,{0}があなたを{1}に招待しました,{0} convidou você para entrar no {1},{0} vous a invité à rejoindre {1},{0} ti ha invitato ad entrare in {1},{0}이 당신을 {1} 클랜에 초대했습니다.,{0} sizi {1}'e katılmaya davet etti,{0} zaprosił cię do dołączenia do {1}.,,,,,,,,,,,,,,,
guild_invitation_text,,Invitation from <b>{0}</b>,Invitación de <b>{0}</b>,Kutsu klaaniin <b>{0}</b>,einladung von <b>{0}</b>,<b>{0}</b>からの招待状,Convite de <b>{0}</b>,Invitation de <b>{0}</b>,Invito da <b>{0}</b>,<b>{0}</b>로부터의 초대,<b>{0}</b>'dan davet,Zaproszenie od <b>{0}</b>,,,,,,,,,,,,,,,
create,,Create,Crear,Luo,Erstellen,作成,Criar,Créer,Crea,생성,Oluştur,Utwórz,,,,,,,,,,,,,,,
guild_application_received,,Clan application,Solicitud de clan,Hakemus,Clan Bewerbung erhalten,クラン申請,Solicitação do clã,Candidature au clan,Domande del clan,클랜 신청,Klan başvurusu,Aplikacja klanowa,,,,,,,,,,,,,,,
guild_application_received_body,,{0} has applied to join your clan!,¡{0} ha solicitado unirse a tu clan!,{0} on pyytänyt liittyä klaaniisi!,{0} hat sich bei deinem Clan beworben,{0}さんがあなたのクランに参加申請しました！,{0} se candidatou para entrar em seu clã!,{0} a demandé à rejoindre votre clan !,{0} ha richiesto di unirsi al clan!,{0}이 클랜 가입을 신청했습니다!,{0} klanınıza katılmak için başvurdu!,{0} złożył podanie o dołączenie do twojego klanu!,,,,,,,,,,,,,,,
guild_members,,Members: {0}/{1},Miembros: {0}/{1},Jäsenet: {0}/{1},Mitglieder: {0}/{1},メンバー {0}/{1},Membros: {0}/{1},Membres : {0}/{1},Membri: {0}/{1},멤버 {0}/{1},Üyeler: {0}/{1},Członkowie: {0}/{1},,,,,,,,,,,,,,,
members,,Members,Miembros,Jäsenet,Mitglieder,メンバー,Membros,Membres,Membri,멤버,Üyeler,Członkowie,,,,,,,,,,,,,,,
daily_quests,,Daily quests,Misiones diarias,Päivittäiset tehtävät,Tägliche Aufgaben,デイリークエスト,Missões diárias,Quêtes quotidiennes,Missioni giornaliere,일일 퀘스트,Günlük görevler,Dzienne misje,,,,,,,,,,,,,,,
daily_quest_skill_desc_guild,,The townsfolk have requested the following resources from your clan,Los habitantes de la ciudad han solicitado los siguientes recursos a tu clan,Kaupunkilaiset ovat pyytäneet klaaniltasi seuraavat resurssit,Die Stadtbewohner haben folgende ressourcen von deinem Clan angefordert,町民があなたのクランに以下の資源を要求しています。,Os habitantes da cidade solicitaram os seguintes recursos ao seu clã,Les habitants de la ville ont demandé les ressources suivantes à votre clan,I cittadini hanno richiesto le seguenti risorse al tuo clan,마을 사람들은 클랜에게 다음과 같은 자원을 요청했습니다,Kasaba halkı klanınızdan aşağıdaki kaynakları talep etti,Mieszkańcy miasta poprosili twój klan o następujące zasoby,,,,,,,,,,,,,,,
daily_quest_combat_desc_guild,,The townsfolk are in trouble! They need your clan to exterminate the following enemies,Los habitantes de la ciudad tienen problemas. Necesitan que tu clan extermine a los siguientes enemigos,Kaupunkilaiset ovat vaarassa! He ovat pyytäneet klaaniasi hävittämään seuraavat viholliset,Die Stadtbewohner sind in gefahr! Sie brauchen deine hilfe um folgende Gegner zu beseitigen,町民が困っています！あなたのクランに以下の敵を退治してほしいとのことです。,Os habitantes da cidade estão com problemas! Eles precisam de seu clã para exterminar os seguintes inimigos,Les habitants de la ville sont dans le pétrin ! Ils ont besoin de votre clan pour exterminer les ennemis suivants,I cittadini sono nei guai! Hanno bisogno del tuo clan per sterminare i seguenti nemici,마을 사람들이 곤경에 처했습니다! 다음 적들을 처치하기 위해 클랜의 도움이 필요하다고 합니다.,Kasaba halkının başı dertte! Aşağıdaki düşmanları yok etmek için klanınıza ihtiyaçları var,Mieszkańcy miasta mają kłopoty! Potrzebują twojego klanu do eksterminacji następujących wrogów,,,,,,,,,,,,,,,
no_vault_access,,You don't have access to the vault!,¡No tienes acceso a la bóveda!,Sinulla ei ole pääsyä holviin!,Du hast keinen Zugriff zum Tresor!,あなたは金庫に入ることができません！,Você não tem acesso ao cofre!,Vous n'avez pas accès au coffre-fort !,Non hai accesso al magazzino!,금고에 접근할 수 없습니다!,Kasaya erişiminiz yok!,Nie masz dostępu do skarbca!,,,,,,,,,,,,,,,
vault,,Vault,Bóveda,Holvi,Tresor,保管庫,Cofre,Coffre-fort,Magazzino,금고,Kasa,Skarbiec,,,,,,,,,,,,,,,
guild_member_added_item,,{0} added {1}x {2} to the vault,{0} añadió {1}x {2} a la bóveda,{0} lisäsi {1}x {2} holviin,{0} hat {1}x {2} in denn Clantresor gelegt,{0}は{1}x {2}を保管庫に追加しました。,{0} adicionou {1}x {2} ao cofre,{0} a ajouté {1}x {2} au coffre-fort,{0} ha inviato {1}x {2} al magazzino,{0}이 금고에 {1}x {2}을 추가했습니다.,{0} kasaya {1}x {2} ekledi,{0} dodał {1}x {2} do skarbca,,,,,,,,,,,,,,,
guild_member_withdrew_item,,{0} withdrew {1}x {2} from the vault,{0} retiró {1}x {2} de la bóveda,{0} otti {1}x {2} holvista,{0} hat {1}x {2} aus dem Clantresor entnommen,{0}は{1}x {2}を保管庫から引き出しました。,{0} retirou {1}x {2} do cofre,{0} a retiré {1}x {2} du coffre-fort,{0} ha preso {1}x {2} dal magazzino,{0}이 금고에서 {1}x {2}을 인출했습니다.,{0} kasadan {1}x {2} çekmiştir,{0} zabrał {1}x {2} ze skarbca,,,,,,,,,,,,,,,
top_contributors,,Top contributors,Principales contribuyentes,Suurimmat lahjoittajat,Am meisten Mitwirkende,トップ貢献者,Principais colaboradores(as),Meilleurs contributeurs,Migliori contributori,최고 기여자,En çok katkıda bulunanlar,Najlepsi wkładcy,,,,,,,,,,,,,,,
active_applications,,Active applications,Solicitudes activas,Aktiiviset hakemukset,Aktive Bewerbungen,アクティブな申請,Solicitações de entrada,Candidatures actives,Domande attive,활동 신청서,Aktif başvurular,Aktywne aplikacje,,,,,,,,,,,,,,,
invite_a_player_to_guild,,Invite a player to your clan,Invita a un jugador a tu clan,Kutsu pelaaja klaaniisi,einen Spieler in deinen Clan einladen,プレイヤーをクランに招待する,Convide um jogador para seu clã,Inviter un joueur dans votre clan,Invita un player nel tuo clan,플레이어를 클랜에 초대하기,Klanınıza bir oyuncu davet edin,Zaproś gracza do swojego klanu,,,,,,,,,,,,,,,
guild_lookup_info,,Tip: Our Discord channel is the best place to find a clan with like-minded players,Consejo: Nuestro canal de Discord es el mejor lugar para encontrar un clan con jugadores afines,Vinkki: Discord kanavamme on paras paikka löytää sinulle sopiva klaani,Tip: Unser Discord ist der beste ort um einen Clan zu finden und sich mit spielern zu unterhalten,ヒント 私たちのDiscordチャンネルは、同じ志を持つプレイヤーのいるクランを見つけるのに最適な場所です。,Dica: Nosso canal do Discord é o melhor lugar para encontrar um clã com jogadores que pensam como você,Astuce : Notre canal Discord est le meilleur endroit pour trouver un clan avec des joueurs partageant les mêmes idées.,Consiglio: Il nostro canale discord è il miglior posto per trovare un clan contenenti giocatori con la tua stessa linea di pensiero.,팁: 우리의 디스코드 채널은 같은 생각을 가진 플레이어들과 함께 클랜을 찾기에 가장 좋은 장소입니다,"İpucu: Discord kanalımız, benzer düşünen oyuncularla bir klan bulmak için en iyi yerdir",Wskazówka: Nasz kanał Discord to najlepsze miejsce na znalezienie klanu z podobnie myślącymi graczami.,,,,,,,,,,,,,,,
join_clan,,Join a clan,Unirse a un clan,Liity klaaniin,Einem Clan beitreten,クランに参加する,Participe de um clã,Rejoindre un clan,Entra in un clan,클랜 가입하기,Bir klana katılın,Dołącz do klanu,,,,,,,,,,,,,,,
join,,Join,Unirse,Liity,Beitreten,参加する,Registre-se,Rejoindre,Entra,가입하기,Katılın,Dołącz,,,,,,,,,,,,,,,
application_sent,,Application sent!,Solicitud enviada,Hakemus lähetetty!,Bewerbungen gesendet!,申請を送信,Solicitação enviada!,Candidature envoyée !,Domanda inviata!,신청서가 전송되었습니다!,Başvuru gönderildi!,Aplikacja wysłana!,,,,,,,,,,,,,,,
create_guild,,Create clan,Crear clan,Luo klaani,Clan erstellen,クランを作成,Criar clã,Créer un clan,Crea un clan,클랜 생성,Klan oluştur,Utwórz klan,,,,,,,,,,,,,,,
enter_guild_name,,Enter clan name...,Introduce el nombre del clan...,Syötä klaanin nimi...,Gib einen Clan Namen ein...,クラン名を入力してください,Digite o nome do clã...,Saisir le nom du clan...,Inserisci il nome del clan...,클랜 이름 입력...,Klan adını girin...,Wprowadź nazwę klanu...,,,,,,,,,,,,,,,
received_invitations,,Received invitations,Invitaciones recibidas,Vastaanotetut kutsut,Erhaltene Einladungen,招待を受け取りました,Convites recebidos,Invitations reçues,Inviti ricevuti,초대를 받았습니다,Alınan davetler,Otrzymane zaproszenia,,,,,,,,,,,,,,,
property,,Property,Propiedad,Omaisuus,Eigentum,プロパティ,Propriedade,Propriété,Proprietà,자산,Mülkiyet,Nieruchomość,,,,,,,,,,,,,,,
management,,Management,Gestión,Hallinta,Managment,管理,Gerenciamento,Gestion,Gestione,관리,Yönetim,Zarządzanie,,,,,,,,,,,,,,,
guild_member_logged_in,,Clan member {0} logged in,Miembro del clan {0} ha conectado,Klaanin jäsen {0} tuli peliin,Clanmitglied {0} ist jetzt Angemeldet,クランメンバー {0} がログインしました,Membro do clã {0} conectado(a),Membre du clan {0} connecté,Il membro del clan {0} ha fatto l'accesso,클랜원 {0}이 로그인했습니다.,Klan üyesi {0} giriş yaptı,Członek klanu {0} zalogował się,,,,,,,,,,,,,,,
guild_member_logged_out,,Clan member {0} logged out,Miembro del clan {0} ha desconectado,Klaanin jäsen {0} lähti pelistä,Clanmitglied {0} ist jetzt Abgemeldet,クランメンバー {0} がログアウトしました,Membro do clã {0} desconectado(a),Membre du clan {0} s'est déconnecté,Il membro del clan {0} si è disconnesso,클랜원 {0}이 로그아웃했습니다.,Klan üyesi {0} çıkış yaptı,Członek klanu {0} wylogował się,,,,,,,,,,,,,,,
message,,Message,Mensaje,Lähetä viesti,Nachricht,メッセージ,Mensagem,Message,Messaggia,메시지,Mesaj,Wiadomość,,,,,,,,,,,,,,,
promote,,Promote,Ascender,Ylennä,Befördern,昇格,Promover,Promouvoir,Promuovi,승급,Terfi,Awansój,,,,,,,,,,,,,,,
demote,,Demote,Degradar,Alenna,Degradieren,降格,Rebaixar,Rétrograder,Retrocedi,강등,Rütbe düşürmek,Zdegradój,,,,,,,,,,,,,,,
kick,,Kick,Echar,Potki,Kick,キック,Expulsar,Expulser,Caccia,추방,Atmak,Wyrzuć,,,,,,,,,,,,,,,
equipment,,Equipment,Equipamiento,Varustus,Ausrüstung,装備,Equipamento,Equipement,Equipaggiamento,장비,Ekipman,Wyposażenie,,,,,,,,,,,,,,,
equipment_colon,,Equipment:,Equipamiento:,Varustus:,Ausrüstung:,装備,Equipamentos:,Équipement :,Equipaggiamento:,장비:,Ekipman:,Wyposażenie:,,,,,,,,,,,,,,,
skills,,Skills,Habilidades,Skillit,Fertigkeiten,スキル,Habilidades,Compétences,Abilità,스킬,Beceriler,Umiejętności,,,,,,,,,,,,,,,
guild_member_kicked_body,,{0} was kicked from the clan,{0} fue expulsado del clan,{0} potkittiin ulos klaanista,{0} wurde aus dem Clan entfernt,{0}はクランから追放されました。,{0} foi expulso(a) do clã,{0} a été exclu du clan,{0} è stato cacciato dal clan,{0}이 클랜에서 쫓겨났습니다.,{0} klandan atıldı,{0} został wyrzucony z klanu,,,,,,,,,,,,,,,
leader_cant_leave_own_guild,,You can't leave a clan that you're the leader of! Delete it in the Management section if you're sure that's what you want to do.,¡No puedes abandonar un clan del que eres el líder! Elimínalo en la sección Gestión si estás seguro de que eso es lo que quieres hacer.,Et voi poistua omasta klaanistasi! Poista se Hallinta sivulla jos olet varma.,Du kannst keinen Clan wo du Anführer bist verlassen! Löse den Clan in dem Management Reiter auf,あなたがリーダーであるクランから離れることはできません！本当にそうしたいなら、管理セクションで削除してください。,Não é possível sair de um clã do qual você é o líder! Exclua-o na seção Gerenciamento se tiver certeza de que é isso que deseja fazer.,Vous ne pouvez pas quitter un clan dont vous êtes le chef ! Supprimez-le dans la section Gestion si vous êtes sûr de vouloir le faire.,Non puoi lasciare un clan di cui sei il capo! Cancellalo nella sezione ''Gestione'' se sei sicuro che è ciò che desideri fare.,자신이 리더로 있는 클랜을 탈퇴할 수 없습니다! 클랜을 탈퇴하고 싶다면 관리 항목에서 클랜을 삭제하세요.,Lideri olduğunuz bir klandan ayrılamazsınız! Yapmak istediğinizin bu olduğundan eminseniz Yönetim bölümünden silin.,"Nie możesz opuścić klanu, którego jesteś przywódcą! Usuń go w sekcji zarządzania, jeśli jesteś pewien, że tego właśnie chcesz.",,,,,,,,,,,,,,,
only_guild_leader_can_delete_guild,,Only the clan leader can delete a clan,Sólo el líder del clan puede eliminar un clan.,Vain klaanin omistaja voi poistaa klaanin,Nur der Clan Anführer kann einen Clan auflösen,クランを削除できるのはクランリーダーだけです,Somente o líder do clã pode excluir um clã,Seul le chef de clan peut supprimer un clan,Solo il capo può cancellare il clan,클랜 리더만 클랜을 삭제할 수 있습니다.,Sadece klan lideri bir klanı silebilir,Tylko przywódca klanu może usunąć klan.,,,,,,,,,,,,,,,
invitation_sent_title,,Invitation sent,Invitación enviada,Kutsu lähetetty,Einladung gesendet,招待状が送信されました,Convite enviado,Invitation envoyée,Invito mandato,초대 전송,Davetiye gönderildi,Zaproszenie wysłane,,,,,,,,,,,,,,,
are_you_sure_you_want_to_delete_clan,,Are you sure you want to delete your clan? All of its progress will be lost and the process is irreversible!,¿Estás seguro de que quieres eliminar tu clan? ¡Todo su progreso se perderá y el proceso es irreversible!,Haluatko varmasti poistaa klaannisi? Klaanin progressio pysyvästi katoamaan!,Bist du dir sicher das du deinen Clan auflösen willst? Der ganze Fortschritt wird damit verloren gehen.,本当にクランを削除しますか？クランの進行状況はすべて失われ、そのプロセスは元に戻りません！,Tem certeza de que deseja excluir seu clã? Todo o seu progresso será perdido e o processo é irreversível!,Êtes-vous sûr de vouloir supprimer votre clan ? Tous ses progrès seront perdus et le processus est irréversible !,Sei sicuro di voler cancellare il tuo clan? Tutti i progressi verranno persi e non potrai più tornare indietro!,클랜을 삭제하시겠습니까? 클랜의 모든 진행 상황이 삭제되며 이 과정은 되돌릴 수 없습니다!,Klanınızı silmek istediğinizden emin misiniz? Tüm ilerlemesi kaybolacak ve süreç geri döndürülemez!,"Czy na pewno chcesz usunąć swój klan? Wszystkie postępy zostaną utracone, a proces ten jest nieodwracalny!",,,,,,,,,,,,,,,
delete_clan_pass_on_leadership_info,,"Since you're not alone in the clan, proceeding will kick you out of the clan and leadership will be passed onto someone else. Deputy leaders will be prioritized.<br><br>Are you sure you want to do this?","Como no estás solo en el clan, el proceso te expulsará del clan y el liderazgo pasará a otra persona. Se dará prioridad a los líderes adjuntos.<br><br>¿Seguro que quieres hacer esto?","Koska et ole klaanissa yksin, tästä jatkaminen poistaa sinut klaanista ja siirtää johtajuuden jollekin toiselle. Varajohtajat priorisoidaan.<br><br>Oletko varma, että haluat tehdä tämän?",Da du nicht alleine im Clan bist wirst du entfernt und die Clanleitung wird an jemand anderes weitergegeben. Stellvertretende Leiter werden priorisiert.<br><br>bist du dir sicher das du das machen möchtest ?,あなたはクランで一人ではないので、進行はあなたをクランから追い出し、リーダーは他の誰かに引き継がれます。副リーダーが優先されます。<br><br>本当にいいのですか？,"Como você não está sozinho no clã, o processo o expulsará do clã e a liderança será passada para outra pessoa. Os vice-líderes serão priorizados.<br><br>Tem certeza de que quer fazer isso?","Comme vous n'êtes pas seul dans le clan, la procédure vous expulsera du clan et la direction sera confiée à quelqu'un d'autre. Les chefs adjoints seront prioritaires.<br><br>Est-ce que vous êtes sûr de vouloir faire ça ?","Siccome non sei l'unico membro del clan, procedere ti caccerà e il capo diventerà qualcun altro. Verrà data proprietà ai vice-capo. <br><br>Sei sicuro di volerlo fare?",클랜에 혼자가 아니기 때문에 클랜을 탈퇴하면 리더십은 다른 사람에게 넘어가게 됩니다. 부리더가 우선순위가 됩니다.<br><br>진행하시겠습니까?,"Klanda yalnız olmadığınız için, işlem sizi klandan atacak ve liderlik başka birine geçecektir. Lider yardımcılarına öncelik verilecektir.<br><br>Bunu yapmak istediğinden emin misin?","Ponieważ nie jesteś sam w klanie, postępowanie wyrzuci cię z klanu, a przywództwo zostanie przekazane komuś innemu. Zastępcy przywódców będą traktowani priorytetowo.<br><br>Jesteś pewien, że chcesz to zrobić?",,,,,,,,,,,,,,,
